食品名,エネルギー kcal,たんぱく質 g,脂質 g,炭水化物(単糖当量) g,炭水化物(質量計) g,食物繊維総量 g,食塩相当量 g
＜和生菓子・和半生菓子類＞　まんじゅう　かるかんまんじゅう　つぶしあん入り,226,-3.1,-0.4,-55.8,-53,-1.9,-0.2
＜和生菓子・和半生菓子類＞　まんじゅう　くずまんじゅう　こしあん入り,216,-3.1,-0.2,-53.5,-50.3,-2.2,-0.1
＜和生菓子・和半生菓子類＞　まんじゅう　くずまんじゅう　つぶしあん入り,218,-1.3,-0.1,-56.2,-52.9,-1.3,-0.2
＜和生菓子・和半生菓子類＞　まんじゅう　くりまんじゅう　こしあん入り,296,-6.5,-1.4,-68.4,-64.1,-3.3,-0.1
＜和生菓子・和半生菓子類＞　まんじゅう　くりまんじゅう　つぶしあん入り,295,-6.7,-1.6,-66.8,-62.6,-4.7,-0.2
＜和生菓子・和半生菓子類＞　まんじゅう　とうまんじゅう　こしあん入り,299,-6.8,-3.1,-65.7,-61.8,-1.7,-0.1
＜和生菓子・和半生菓子類＞　まんじゅう　とうまんじゅう　つぶしあん入り,294,-6.9,-3.3,-63.6,-59.5,-2.3,-0.2
＜和生菓子・和半生菓子類＞　まんじゅう　蒸しまんじゅう　こしあん入り,254,-4.6,-0.5,-61.4,-57.5,-2.4,-0.2
＜和生菓子・和半生菓子類＞　まんじゅう　蒸しまんじゅう　つぶしあん入り,257,-4.7,-0.7,-61.3,-57.2,-3.4,-0.2
＜和生菓子・和半生菓子類＞　まんじゅう　中華まんじゅう　あんまん　こしあん入り,273,-6.1,-5.6,-52.9,-48.8,-2.6,0
＜和生菓子・和半生菓子類＞　まんじゅう　中華まんじゅう　あんまん　つぶしあん入り,279,-6.2,-6,-52.9,-48.8,-3.3,-0.1
＜和生菓子・和半生菓子類＞　まんじゅう　中華まんじゅう　肉まん,242,-10,-5.1,-42.4,-39,-3.2,-1.2
＜和生菓子・和半生菓子類＞　もなか　こしあん入り,277,-4.9,-0.3,-67.3,-63.2,-3.1,0
＜和生菓子・和半生菓子類＞　もなか　つぶしあん入り,278,-6.4,-0.7,-64,-60.1,-6.1,-0.2
＜和生菓子・和半生菓子類＞　ゆべし,321,-2.4,-3.5,-74.1,-69.8,-0.5,-0.6
＜和生菓子・和半生菓子類＞　ようかん　練りようかん,289,-3.6,-0.2,-71.9,-68,-3.1,0
＜和生菓子・和半生菓子類＞　ようかん　水ようかん,168,-2.6,-0.2,-40.9,-38.7,-2.2,-0.1
＜和生菓子・和半生菓子類＞　ようかん　蒸しようかん,237,-4.4,-0.3,-57.3,-53.8,-2.8,-0.2
＜和干菓子類＞　あめ玉,385,0,0,-102.7,-97.5,0,0
＜和干菓子類＞　芋かりんとう,465,-1.4,-20.6,-73.9,-69.5,-2.6,0
＜和干菓子類＞　おこし,376,-3.8,-0.7,-95.2,-88.5,-0.4,-0.2
＜和干菓子類＞　おのろけ豆,438,-11.3,-13.6,-71.6,-65.3,-2.3,-1
＜和干菓子類＞　かりんとう　黒,420,-7.5,-11.6,-77.3,-72,-1.2,0
＜和干菓子類＞　かりんとう　白,423,-9.7,-11.2,-76.7,-70.8,-1.7,0
＜和干菓子類＞　ごかぼう,367,-10.6,-6.4,-70.5,-65.7,-4.5,0
＜和干菓子類＞　小麦粉せんべい　磯部せんべい,377,-4.3,-0.8,-94.1,-87.9,-1.3,-1.3
＜和干菓子類＞　小麦粉せんべい　かわらせんべい,390,-7,-3.2,-89.6,-83.7,-1.2,-0.1
＜和干菓子類＞　小麦粉せんべい　巻きせんべい,386,-4.3,-1.4,-95.1,-89.2,-1,-0.1
＜和干菓子類＞　小麦粉せんべい　南部せんべい　ごま入り,423,-11.2,-11.1,-73.3,-66.7,-4.2,-1.1
＜和干菓子類＞　小麦粉せんべい　南部せんべい　落花生入り,421,-11.7,-9.5,-76.6,-69.9,-3.5,-0.9
＜和干菓子類＞　しおがま,348,-2.6,-0.2,-89.6,-84.2,-0.6,-1.5
＜和干菓子類＞　ひなあられ　関西風,385,-8,-1.4,-84.5,-76.8,-1.3,-1.7
＜和干菓子類＞　ひなあられ　関東風,380,-9.6,-2.8,-78.4,-71.5,-2.5,-1.5
＜和干菓子類＞　米菓　揚げせんべい,458,-5.6,-17.4,-75.9,-69,-0.5,-1.2
＜和干菓子類＞　米菓　甘辛せんべい,374,-6.7,-0.9,-91,-83.1,-0.6,-1.2
＜和干菓子類＞　米菓　あられ,378,-7.5,-1,-82.9,-75.4,-0.8,-1.7
＜和干菓子類＞　米菓　しょうゆせんべい,368,-7.3,-1,-88.4,-80.4,-0.6,-1.3
＜和干菓子類＞　ボーロ　小粒,391,-2.5,-2.1,-97.3,-90.7,0,-0.1
＜和干菓子類＞　ボーロ　そばボーロ,398,-7.7,-3.4,-90.4,-84.4,-1.5,-0.3
＜和干菓子類＞　松風,378,-4,-0.7,-94.7,-88.4,-1.2,-0.1
＜和干菓子類＞　みしま豆,402,-12.3,-8.6,-72,-68.6,-6,0
＜和干菓子類＞　八つ橋,390,-3.3,-0.5,-99.7,-93,-0.3,0
＜和干菓子類＞　らくがん　らくがん,384,-2.4,-0.2,-99.6,-93.4,-0.2,0
＜和干菓子類＞　らくがん　麦らくがん,396,-4.8,-1.8,-94.6,-88.7,-5.4,0
＜和干菓子類＞　らくがん　もろこしらくがん,374,-6.6,-0.3,-89.5,-84.4,-6.9,-0.3
＜菓子パン類＞　揚げパン,369,8.7,18.7,-,-,1.8,1.1
＜菓子パン類＞　あんパン　こしあん入り,267,-6.8,-3.6,-51.6,-48,-2.5,-0.3
＜菓子パン類＞　あんパン　つぶしあん入り,266,-7,-3.8,-54.1,-50.3,-3.3,-0.3
＜菓子パン類＞　あんパン　薄皮タイプ　こしあん入り,256,-6.6,-3.5,-53.6,-50.3,-2.4,-0.1
＜菓子パン類＞　あんパン　薄皮タイプ　つぶしあん入り,258,-6.8,-3.7,-52.5,-48.8,-3.2,-0.2
＜菓子パン類＞　カレーパン　皮及び具,302,-6.6,-18.3,-32,-29.5,-1.6,-1.2
＜菓子パン類＞　カレーパン　皮のみ,363,7.2,22.4,38.5,35.3,1.3,1
＜菓子パン類＞　カレーパン　具のみ,168,5.3,9.3,17.7,16.7,2.4,1.8
＜菓子パン類＞　クリームパン,286,-7.9,-7.4,-45.7,-42.3,-1.3,-0.4
＜菓子パン類＞　クリームパン　薄皮タイプ,218,-6,-7.1,-33.4,-31.1,-0.6,-0.2
＜菓子パン類＞　ジャムパン,285,-5.3,-3.9,-56.2,-52.5,-1.6,-0.3
＜菓子パン類＞　チョココロネ,320,-5.8,-15.3,-44.3,-40.9,-1.1,-0.4
＜菓子パン類＞　チョコパン　薄皮タイプ,340,-4.7,-19.4,-41.4,-38.2,-0.8,-0.4
＜菓子パン類＞　メロンパン,349,8,10.5,60.6,56.2,1.7,0.5
＜菓子パン類＞　菓子パン　あんなし,294,-8.2,-6.1,-55.5,-51.1,-1.7,-0.5
＜ケーキ・ペストリー類＞　シュークリーム,211,-6,-11.4,-25.3,-23.8,-0.3,-0.2
＜ケーキ・ペストリー類＞　スポンジケーキ,283,-7.9,-7.5,-52.8,-49.3,-0.7,-0.2
＜ケーキ・ペストリー類＞　ショートケーキ　果実なし,318,-6.9,-15.2,-44.6,-41.7,-0.6,-0.2
＜ケーキ・ペストリー類＞　ショートケーキ　いちご,314,-6.9,-14.7,-44.3,-41.5,-0.9,-0.2
＜ケーキ・ペストリー類＞　タルト　（洋菓子）,247,-4.7,-13.5,-30.9,-28.9,-1.4,-0.2
＜ケーキ・ペストリー類＞　チーズケーキ　ベイクドチーズケーキ,299,-8.5,-21.2,-24.4,-23,-0.2,-0.5
＜ケーキ・ペストリー類＞　チーズケーキ　レアチーズケーキ,349,-5.8,-27.5,-21.9,-20.5,-0.3,-0.5
＜ケーキ・ペストリー類＞　デニッシュペストリー　アメリカンタイプ　プレーン,382,-6.2,-26.3,-34.8,-31.9,-2.1,-0.8
＜ケーキ・ペストリー類＞　デニッシュペストリー　デンマークタイプ　プレーン　,440,-6.5,-34,-32.1,-29.3,-2.7,-0.5
＜ケーキ・ペストリー類＞　デニッシュペストリー　アメリカンタイプ　あん入り　こしあん,330,-6,-15.6,-45.3,-42.2,-2.9,-0.5
